Unnamed: 0,Emotion,Sentence
368,Other,má tao coi mà chóng_mặt . cầu này rồi dành cho chân ngắn như tao chắc
1724,Enjoyment,may mà còn gỡ lại được 1 miếng sắt lớn của tàu_hỏa nó bung ra nên bán đi cũng đỡ được vài đồng . kaka
1253,Enjoyment,tao định thả sad nhưng đọc bình_luận buồn_cười vailon 😂 nên thả hahaa : v
631,Sadness,không biết crush bây_giờ có ở nhà không nữa 😭
452,Anger,đồ điên . quét đéo được thì lấy máy hút bụi hút mẹ hết đi . hét hét cái lol gì = )
1035,Sadness,căng thẳg quá mà
439,Sadness,"tàn_nhẫn thế_nào , là khi mình trao họ hết hy_vọng rồi họ lại dập tắt đi nó"
981,Other,qtrong là mày phải có tiền chứ nghèo xem
1275,Sadness,trông tội quá
1188,Sadness,thằng này nhớ hội chị_em vinmec quá : ( (
1154,Enjoyment,bài nhạc hay khi nó đúng tâm_trạng . nhạc hay !
53,Fear,khi đã đổ_vỡ hàn_gắn lại chắc gì đã được như lúc đầu : ' <
1637,Disgust,"khiển_trách là bị mắng rồi má , lại còn bắt chép phạt ác thật"
987,Enjoyment,nó cưng quá mày
978,Disgust,thế tao mới quyết_tâm tìm ra facebook thật của nó để no hết đường lừa các em mới lớn đó
724,Sadness,cho con được thay ông bán vé đi 😔
41,Fear,bố_mẹ tao đọc được tin này + xem cặp lá yêu_thương nữa thì bữa trưa nay tao không dám ăn cơm mất .
1268,Sadness,mong_manh dể vở 😂 😂
139,Fear,"tui đây vừa vô phòng thì con vợ mặt trắng_bóc nhảy ra đây , tưởng là ma"
1670,Surprise,thật không_thể tin được
711,Disgust,thằng này dume vỉa_hè quá rộng . con này không đi oto bao_giờ là chắc ?
790,Other,ở miền nam nó vẫn không được giá_như trước nhưng cũng dư giả
1263,Anger,có cái ảnh tỉ năm trước cứ đăng đăng con cặc . đéo thấy nhàm à . nghĩ thôi thấy bất_hạnh vãi .
619,Enjoyment,tuổi_thơ của tôi cũng từng có 1 người c . trai bỏ mặc tất_cả để bảo_vệ tôi 😘
702,Enjoyment,cười ỉa phút 1 : 11
1009,Sadness,càng thân_thiết khi quay lưng càng đau_lòng .
1850,Enjoyment,ê có khi nào đọc bài này xong buồn_cười quá cười toác hàm có khi nào đi bệnh_viện không các cụ : v
536,Other,em thằng này gì gì đang hot đi làm lại ngực mà đi đoạn đường này thì ngải_cứu : ) )
187,Disgust,chỗ tao lắm đứa khó_chịu vãi
1341,Sadness,vui_tính tí cũng khó_cơ
760,Enjoyment,chuẩn luôn khi ở công tình_yêu toàn là các anh_chị_em đồng_nghiệp tốt he he
1802,Enjoyment,hãy cười thật tươi để cho cuộc_sống của bạn trở_nên thật tuyệt_vời 😁
1698,Surprise,s mà nằm viện mà chị đẹp quá_vậy
541,Anger,tao cho mẹ tao xem và đã bị ăn vả . đéo hiểu vì_sao
805,Sadness,bó_tay luôn á
1390,Enjoyment,chòi má nói_chuyện tình vãi = )
1790,Surprise,ôi tao đã tìm được người cùng hành_tinh ?
949,Disgust,ra tới cổng tao nói ha xấu cái chắc tao cười ỉa
704,Other,thằng này ai bày mày thiết_kế thế này hả ?
433,Anger,thằng này facebook cứ để tao phải xem được những cái lãng_mạn là sao cay vãi : ) )
834,Enjoyment,ai hát tao cho tao nge bài này chắc tao say quá
894,Disgust,có gì mà vinh_quang một bàn_tay bị tật
1377,Disgust,dẫu hiên_ngang giữa đất trời . gặp con vợ đểu thì đời cũng xong
218,Anger,chồng tao mà nói thế tao lại vả vỡ con_mẹ nó mồm : ) )
1318,Sadness,mình bị say xe bạn à : (
108,Other,"rồi , chợt mình tỉnh_giấc : ) mơ đủ rồi đó"
1554,Anger,con tao mà bị như này . cả nhà bon kia không quỳ mà xin thì xác con_mẹ định luôn
43,Other,hẳn lớp đó nhiều nữ lắm ha
667,Other,ai cho xin bài nhạc helo đi : ) )
1809,Surprise,không hiểu tại_sao bản_thân có_thể chịu_đựng được
332,Other,"cà_phê vần luôn cả với sa_tế , thế_là đủ vị đắng_cay"
1441,Enjoyment,đẹp quá v 😍 😍
1285,Disgust,"người_ta ăn_hàng tỉ lại phát 5 tr , còn gì là pháp_luật nữa"
132,Fear,thằng này gặp tao chắc tao đái trong vần 😅 😅
1740,Surprise,wow không thê tin được bô mong tay day thât kinh
1597,Sadness,lụm điều cho ba_má . 2 ngàn 1 ngày bỏ heo đất . thằng hàng_xóm vô trộm mất . khóc_lóc mấy ngày .
896,Disgust,"cà_phê king là của chị thảo hả uống dở hơn nước_đái mèo nữa , thấy gơm"
176,Fear,"đừng nên thích mấy ông anh cơ_bắp , sợ lắm 😆"
1818,Anger,mày xuống thì xuống mẹ mày đi . ngứa cả mắt 😩
997,Disgust,tao nói tao bị ngỗng dí đúng sáng sớm bọn bạn cười tao . 😂 còn bồ tao thấy tao bị dí đứng cười 😪
97,Fear,tao chỉ sợ cảnh_đấu kiếm : ( (
430,Anger,"tao ước gì gặp được cái thằng chế ra con xe lead , tao sẽ tán cho nó sấp_mặt luôn . 😒 còn video này tao hóng mãi lúc nó so . mà đéo thấy haha"
509,Anger,mẹ mày đã đánh mày tan xác chưa . phải tao thì mẹ tao cho nhừ_tử luôn rồi ? ?
1096,Disgust,"mất 1 phút để say_mê một người , một giờ để thích một người và một ngày để yêu một người nhưng có_thể lại mất một đời để quên đi hình_bóng ấy . đấy là câu xạo lol trong ngôn tình thôi chứ tin thế đéo nào được"
1807,Surprise,quả mặt dễ_thương dữ_vậy
141,Disgust,cái đất_nước này loạn_luân mẹ hết rồi : )
1548,Enjoyment,là mỗi buổi sáng thức dậy ta có thêm 1 ngày mới để yêu_thương ❤ ️ .
803,Disgust,đồ khùng cơm đâu có mắc đâu mà phải làm vậy .
138,Enjoyment,có cả chiêu của thằng này trong đấu_trường thú nè : )
1816,Disgust,bọn yêu nhau tưởng thế_là hay
270,Fear,đm tao biết trước cả sự_việc kiểu lìn gì cũng có nhện nhảy lên màn_hình . vì mấy năm trước cũng có 1 thể_loại giống như_vậy . đm hú nhồn
63,Other,"thằng này thì mấy ông nhậu bắt sạch , còn đâu mà phá_hoại"
1791,Surprise,sao mà mặt boss có_thể gian đến thế nhỉ
776,Sadness,có lúc ngồi một_mình mà cảm thấy lạc_lõng lắm các cậu ak
105,Enjoyment,chiều mưa hứa tự sẽ tự đi mua đôi giầy mới 😂
410,Anger,như lol
854,Sadness,đọc xong nước_mắt ứa ra
864,Enjoyment,yêu quá nè nè
1007,Enjoyment,ý_tưởng hay đáy chứ
578,Sadness,buôn bỏ nhưng tình_cảm không thuoc về mình nua . bat đầu kiem tiên
657,Enjoyment,thằng này cđ chỉ cần đơn_giản như thế đã ấm lòng thế . rơi cả nói_chuyện mắt .
1157,Enjoyment,bản_thân quá hạnh_phúc khi trong cs này rất . rất nhiều người mơ_ước được như mình hiện_tại . 😊
1908,Anger,"quỳ rồi chết ông chết bà chúng_mày à ? tao hồi xưa đi học còn ăn cây như cơm_bữa , véo tai mỗi ngày ? dume học thì ngu phá thì giỏi bắt quỳ là nhẹ rồi ở đó mà gáy con cặc"
1424,Disgust,chả có gì vui 😏
566,Anger,"mọe , chúng_mày có thôi đi không ? : )"
1395,Sadness,buồn dễ sợ mà huhu
1562,Sadness,"200 năm xây_dựng , tồn_tại 800 năm , thật là tiếc cho nước pháp ."
54,Disgust,chúng_mày bị điên à 😒
664,Other,áp_dụng với đứa yêu mày thôi nha
760,Disgust,"dume tao từ giờ sẽ bỏ thích cái page này huhu , nghiệp mà"
644,Sadness,đọc xong tao muốn khóc luôn
1716,Other,nhà tạp_hoá đấy hả . : )
323,Fear,"thằng này hồi nhỏ bị con đỉ này dí lòi lol 😂 , bị cắn bầm đen muốn thúi thịt luôn cả tháng hơn mới hết . mà đươ ̣ c cái con này nuôi nó giữ nhà_cửa hay , có nó không sợ ma_quỷ gì hết"
1284,Surprise,đẹp_trai mà bị đá à
1611,Surprise,công tình_yêu này nhân_viên đông_vậy luôn hả ?
1567,Disgust,tóm lại là giá_trị của anh đéo bằng 1 cái bánh : <
1065,Enjoyment,thằng này xem đi haha
1609,Enjoyment,"má , mặt đúng ngáo luôn 😂"
176,Disgust,"dm gì cũng bắt phải làm , phí thu vãi thì chả top1 : ) nhân với chả_viên"
1494,Enjoyment,"nói chứ uống đi , 1 ly thì giảm ăn một bữa sẽ không khiến mày phì đâu ."
403,Anger,thêm cả trò mắt mèo khốn_nạn nữa
1172,Sadness,vẫn ế bền_vững
1852,Enjoyment,thằng này cười đau bụng luôn 🤣 🤣
1874,Surprise,xưa dữ luôn
945,Enjoyment,tự_hào ngồi mâm dưới
1849,Enjoyment,cặp này lầy mà dễ_thương
1577,Disgust,hỏng rồi . dùng đồ như phá
1902,Surprise,đm y chang mẹ tao chửi tao luôn : )
1355,Sadness,cảm_thấy sợ mấy thứ suy_nghĩ cổ_hủ của người_lớn : (
1002,Disgust,hư_cấu 😌
1498,Disgust,"dume về bố lại táng cho bờm đầu , có_thể là lần cuối được đi xem đá bóng của cháu nó : ) )"
589,Other,cafe nguyên_chất 🙂
835,Sadness,có hôm tao đang vương nỏ tính bắn vào con_họa mi đang đậu trên cành thì ai_ngờ nó phản_đame đứt thun dội ngược vào mặt từ đó tao không còn chơi nữa
1137,Enjoyment,thằng này theo vợ nghĩ nếu là chồng thì chắc con đó dù là giả cũng sẽ lên nồi
1914,Surprise,thiệt hả cái ?
386,Enjoyment,"đã dùng , nhớ quá ngày_xưa"
9,Anger,dm đã mải đạp xe rồi còn hỏi hoi cái lol gì vậy ?
1450,Disgust,xạo xạo . thằng cải suốt ngày bị nó dụ
1826,Surprise,đứng trụ điện mới_lạ chứ
149,Disgust,"thiệt ra bạn mày đẹp hơn , vì màt chỉ được_cái lưng dài lười_biếng thui 🙃 🙃"
904,Other,nhìn vậy thôi mày bóc tách múi ra là bình_thường ngay mà
375,Anger,hãy xử tù chung_thân bọn người mất nhân_tính gây ra nghiệp_chướng này
1512,Anger,bọn óc vật 🙂 đụng vào con_cháu nhà tao thử
1424,Sadness,thất_vọng và áp_lực tích_tụ hằng ngày với tao
953,Disgust,"tránh xa nó ra , nó ngáo đó , 8h sáng mà nó đòi đi ngủ là hiểu rồi"
1334,Enjoyment,thằng này trai hay gái thì vẫn thấy tữn như_thường kk
1169,Enjoyment,oimeoi tao thấy được tao ngày_xưa đây rồi = )
1507,Enjoyment,thằng này : ) ) hiểu được nỗi_lòng anh chưa ! mốt đừng giận anh nhiều nữa nha
607,Other,"mình đã xem rất nhiều video như này rồi , nên thấy cũng bình_thường = )"
1792,Surprise,không phải để xé giấy ak ?
1702,Enjoyment,còn tao là thoát khỏi 3 năm nói riền và 12 năm nói_chung thảm_họa của cđ hahaha 😆
1320,Disgust,lêu lêu mày : ) ) đồ con chó không có mẹ ẳm : ) )
1197,Enjoyment,nhưng công_nhận nhìn ngáo cỏ yêu thật = ) )
138,Fear,từ lúc đấy tao không ăn được các loại thịt ngan - ngỗng - vịt lun 😞 ám_ảnh vãi
1860,Enjoyment,rõ_ràng vẫn là một người mà cắt tóc xong nhìn đáng yêu vãi : v
10,Enjoyment,tán gái hay vãi
417,Anger,chỉ vì tin “ nó không cắn đâu ” mà tao đã bị “ nó ” cắn 2 lần rồi . dume
276,Fear,moá nhìn rùng hết cả mình
136,Fear,bà mẹ nó @ @ xem rùng con_mẹ nó mình hơn cả phim ma .
754,Disgust,à ừ đúng rồi tin người quá đến lúc nó đâm cho cũng không biết
1456,Disgust,con_gái con đứa thứ gì vô_duyên không mặc_cả quần_lót
1634,Disgust,tấu hài cực mạnh
1052,Other,chỉ có trong truyền_thuyết . mà khái_niệm truyền_thuyết trong ngữ_văn lớp 6 là không có thật
1238,Disgust,tết trung_thu chứ có phải tết “ giao_phối ” đâu mà cần gấu với chả gà 😌 😌
274,Fear,toàn tặng đồ gây sát_thương thế kia khả_năng bị phản_damage là rất cao
1599,Enjoyment,"tuyệt với , ước_mơ hồi nhỏ của tôi đã được cậu bé này thực_hiện"
179,Other,thằng này nhớ lần mua mộc ra bờ sông ghê . đã thế còn làm li đặc_biệt . dm
1688,Surprise,wao đáng yêuc vậy chời ơi
60,Fear,"thật là romantic , mà mà mà . sao nghĩ tới cảnh động phòng hoa chúc tao thấy nhột nhột lỗ_đít 😧 😧"
1199,Disgust,"bạn_bè nói_chuyện cũng chụp post facebook , vui không ?"
1340,Enjoyment,thứ ba mẹ cho con và con nhận thấy đó là sự đức_hạnh tấm lòng cao_cả cam bật máy ba mẹ rất nhìu
933,Enjoyment,"con mong bác dù nghèo nhưng sống luôn_luôn vv , chúc bác 1 đời bình_an"
405,Enjoyment,tiên_sư cái thằng ghép nhạc cười rớt mồm quả ghép
651,Sadness,"khổ_thân người dân , trước dự_án cao_su là dự_án cà_phê , làm thêm dự_án nữa coi như một đời bỏ phí"
85,Disgust,"đụ_mẹ tục , cuối tuần về ra nha : ) )"
637,Enjoyment,"từ nhỏ tới lớn đi học toàn ngồi chung bàn với nam , toàn phải đương_đầu chiến_đấu với vạch phấn chia đôi bàn ghế . 🤣 🤣"
1782,Enjoyment,hạnh_phúc to nè
1393,Enjoyment,là khi gặp nhau mọi suy_nghĩ buồn_bực trước đó nhường chỗ cho cậu : ) )
366,Fear,chuyện buồn quá chúng_mày à . tao không dám đọc sợ làm quyết_tâm có người_yêu của tao lung_lay 🙄
23,Other,vì người_dưng mãi là người_dưng
1469,Enjoyment,chỉ ước về sau mình được vay
205,Fear,muốn share về mà sợ bị bạn nè phẫn_nộ quá
1624,Disgust,nói thiệt là 10 người thanh hoá hết 9 người chả ra gì .
626,Other,rồi liệu nằm với vợ ông làm thế_nào nhỉ
1211,Sadness,tôi từng trách bố_mẹ sao sinh tôi ra trong hoàn_cảnh này
441,Sadness,"đau_lòng vãi . cứ tưởng là đùa . ai_ngờ , bồ nhau thiệt . ơ . tớ có sừng không"
690,Disgust,chỉ tại nó không có ai để nói_chuyện nên nói_chuyện với mày giết thời_gian thôi . ai bỉu mày tưởng_tượng chi
162,Fear,có đứa nào vừa xem vừa sờ tai mình không ? sợ vãi : <
1498,Enjoyment,không nổi thì mình chìm haha
824,Other,hiểu lầm chút chút
1366,Enjoyment,em hết ngáo rồi nha = )
421,Enjoyment,phim này rất hay .
490,Anger,mấy ai hiểu được ý_nghĩa mà cứ chửi như đúng rồi : )
1593,Enjoyment,chàng trai mạnh_mẽ !
327,Other,nếu thấy phụ_nữ quá phức_tạp để hiểu và chinh_phục thì đây là cách giải_quyết vấn_đề
601,Anger,địt_mẹ không có cái loại nào nó ác man và tàn độc hơn là cái loại người . xem mà điên đéo chịu được
854,Enjoyment,đcm_ngôn tình vãi
378,Fear,"tao cưới rồi , cưới nữa cho vợ tao chém tao chết à"
1900,Enjoyment,thật tuyệt_vời !
1318,Disgust,"từ cái thời mới bắt về bé tí . suốt ngày bị lũ gà mái bắt_nạt run_rẩy trong góc . mình thấy tội_nghiệp nên săn_sóc từng tí 1 , lại bảo_kê cho nó khỏi lũ gà . thế_mà dume lúc lớn lúc đéo nào cũng kêu như giết heo , đuổi đánh lũ gà chạy tán_loạn , đè chết cả mấy con gà . đã thế thì thôi lúc vào cho nó ăn nó dí cho thì thôi rồi . vừa dí vừa mổ , hồi đấy nuôi ngỗng mơ cũg thấy ác_mộng bị nó đuổi mổ . tóm lại vừa vô_ơn vừa đéo dễ_thương tí nào cả"
476,Enjoyment,"thằng này hihi học ở đâu không quan_trọng , quan_trọng là bọn mình luôn có nhau hihi"
1349,Enjoyment,cô gái này thật dễ_thương “ anh cứ nhắm_mắt làm đại một lần thôi mà “ 😂 😂
544,Other,mặt thái_độ vãi
849,Enjoyment,đơn_giản 🙂
1042,Enjoyment,"a con nhện 😨 "" a con ế ! "" - nhện said 😂"
312,Enjoyment,rồi lỡ ai có bầu mà đi qua không biết nhảy kiểu gì nữa 😂 😂
564,Anger,để 1 ngày là khó_chịu rồi
563,Anger,liên_quan đéo gì . trung_thu tết đoàn_viên gia_đình chứ đoàn_viên người_yêu đéo đâu .
578,Anger,con mụ mất_dạy . già mà lăng_loàn . thấy người_ta yếu_thế hơn mà khôg giúp dựng cái xe dậy rồi nói với nhau vài câu tử_tế . lại còn tỏ nguy_hiểm_định ăn cức người_ta ak
757,Enjoyment,"chuẩn đó , mà quên chưa có người_yêu"
1582,Enjoyment,hên là chay ra kip
343,Anger,trời_ơi . giết hết lũ xúc sinh liên_quan đi . lũ giết người hàng_loạt . yêu_cầu_thủ_tướng đứng ra chỉ_đạo vụ_việc này cho dân . diệt tận gốc nhổ tận rể lũ súc_vật này . 😡
715,Fear,chuột mà làm như người vậy . . ít hôm nó gặm cả rắn cả dây thì thấy mẹ . .
1080,Disgust,gớm vãi : )
1235,Other,ông định làm gì anh vợ tôi ?
1382,Sadness,học xong 12 như hết thanh_xuân có_lẽ phải bỏ lỡ 1 người
653,Other,cái này thì hôm nào nói_chuyện tao nói cho nghe ? ?
1320,Enjoyment,cảm_ơn những người thả 😡 nên mình biết là đéo hay nên mình đéo xem . may vãi
1178,Anger,"dume mày là con_gái đó , còn tao thì : dume mày có xuống không thì bảo"
80,Other,nhìn là thấy nóng rồi
640,Sadness,tiền nhiều để làm gì khi tình không còn
595,Anger,"mày ngon mày giết tao luôn đi , má mày"
449,Enjoyment,không phải crush : v nhưng mà nhìn ổng cười mỉm nhìn cute vãi - . - 😑 😆 ❤
1946,Surprise,không hiểu sao nhìu người lại thả haha nhỉ ? ?
1365,Disgust,nhìn thấy ghét .
1060,Other,nhưng vẫn tồn_tại nhiều đứa con_gái không như vậy_mà ? ?
226,Fear,chắc từ giờ tao đéo giám_ho nữa quá .
698,Other,xã_hội giờ càng ít nói như tao thì càng ngoan hiền
464,Enjoyment,chuẩn rồi bác . : )
1475,Sadness,tiếc là 23 cái xuân rồi chưa gặp được em . có ai giống tôi không
412,Anger,thằng chó chết mày quá dã ư
1025,Enjoyment,"nhà tao bên cạnh phòng tập gym , lúc trước bán dụng_cụ thể_thao ế vãi ra , nợ_nần chồng_chất ! từ ngày chuyển sang làm đại_lý dầu ăn , gia_đình tao phất lên trông thấy ! 😂 😂"
392,Fear,hú_hồn
927,Anger,lừa_đảo số tiền lớn như_vậy thì khởi tối cả lũ chúng_nó chứ
615,Anger,thằng này cản tao không tao chửi thề
671,Other,sáu múi đâu rồi
1768,Surprise,lông chân mọc nhanh thế : ) )
1683,Disgust,"nhìn là biết cái quả này fa lâu lắm rồi này , cũng may chưa đóng 🕸 😂"
929,Enjoyment,cho em canh với . hehe
823,Sadness,có những ngày làm tới đâu là sai tới đó : ) ) muốn tát vào mặt hết_sức
1142,Enjoyment,yêu thế nhè 😍 có em_gái chắc cũng vui lắm
371,Other,tốt nhất là phải sử phạt thật nặng thì các trường_hợp như_vậy mới không tiếp_tục xảy ra
213,Other,mày chặt một tay đi cho dễ nhớ
498,Enjoyment,má chủ dễ_thương vậy tao cũng muốn xin
1272,Sadness,năm nay chạnh_lòng quá . haizz
946,Enjoyment,thông_minh lắm
1729,Disgust,người_ta mất 6 tháng để học lái_xe nhưng lại mất cả đời để học văn_hoá đỗ xe 😑
512,Enjoyment,trồi ôi mới đọc tưởng đâu người_yêu
925,Other,phải bồi_thường thiệt_hại bị trầy_xước thân tàu . tiền sơn lại mấy toa tàu chắc cũng bộn .
1599,Disgust,"yêu nhau lắm cắn nhau đau , tao thấy dòng_chảy tiền_kiếp của 2 đứa mày là vậy"
23,Fear,"đang định đi nhổ răng_khôn , nghe được tin này thấy ghê răng 😁"
628,Other,"lớn lên rồi ta sẽ tự hiểu . . "" tại_sao ngày đó cha_mẹ thế này thế kia với ta "" ."
1612,Surprise,thiết_kế tinh_tế quá
1673,Surprise,đấy có phải con_người không nhỉ ? mà sao lại làm thế
366,Fear,chuyện buồn quá chúng_mày à . tao không dám đọc sợ làm quyết_tâm có người_yêu của tao lung_lay 🙄
1131,Disgust,nhạc hay chứ lời xàm . . vậy cũng rần_rần
267,Other,mình có xài rồi nè hồi lúc đi làm xí nghiêp gọi là lò xô đổ dầu xài
319,Disgust,đcm anh da đen fake
398,Anger,"ở mình bà đéo ông đéo nào cũng muốn dậy đưa giỏi , đứa ngu hay nghịch tý là ông_bà ý làm ầm lên ."
897,Sadness,đã từng nên tao hiểu cảm_giác ấy . vừa tiếc ly trà sữa vừa phải lết xác đi giặt cái balo
1834,Surprise,giọng nghe hay quá
1512,Sadness,đoạn phim này tốn khá nhiều nước_mắt của người xem
685,Enjoyment,thằng này năm nay 2 đứa quyết_định ngồi hay đứng hài_hước
701,Enjoyment,chuẩn
1255,Disgust,trời ơi ai nuôi chó mà để nó tội thế kia . đéo có trách_nhiệm
1723,Enjoyment,điện cho đứa bạn . đem mũ ra . coi ai hơn ai . kakaa .
1378,Enjoyment,ui đáng yêu gheê
266,Other,lấy giẻ lau xong vắt chắc cũng được nửa
1035,Other,"thằng này 2ce thì có_thể làm được , ly mà làm như_vầy thì 🤣"
18,Fear,sợ vãi linh_hồn 😞
365,Anger,mợ không gọi công_an phường đến cẩu đi .
1108,Enjoyment,"ngồi chờ một người đi qua 1 và coi đó như 1 sự tình_cờ 😂 tao đã từng , nhưng đó là tao của ngày_xưa . buồn_cười thật 😁"
182,Fear,đm hú_hồn
1802,Disgust,"cái thứ 2 mình thấy lạ lòn , bạn gái người_ta ăn , quên chỉnh tóc . người_ta chỉnh lại tóc dùm bạn gái mắc gì 2 đứa nó thái_độ 😑 😑"
275,Fear,dume mặc_dù tao rất yêu chó nhưng tao cũng sợ chó nữa : ( (
1958,Surprise,y_tế chăm_sóc sức_khỏe lương nhiều vậy_sao
860,Enjoyment,yêu chết đi được .
1934,Disgust,cơm từ_thiện không tốn tiền nên không biết quí_trọng ý_thức còn thấp quá
180,Enjoyment,tình_yêu không bao_giờ là mãi_mãi . rồi cây cũng chết héo mà thôi khà_khà
1680,Disgust,bưởi chín nó như vậy đấy ngu ạ
158,Disgust,cấp 1 đi học cũng gặp bọn quái_đản này
926,Enjoyment,dân kinh_doanh khoái đi chợ này lắm nè
1840,Enjoyment,chúng_tôi gọi đây nà chất : v
357,Fear,ám_ảnh thật_sự
776,Other,bếp dầu lại nhớ thời sinh_viên
48,Other,ướp đông_lạnh luôn à
359,Enjoyment,có ai luyện mới được như mình không dạ
1052,Disgust,phim này thật_ra hay nhưng không có tính thực_tế . không hay bằng truyện .
934,Sadness,vì yêu người khác nên biết là ngu nhưng vẫn làm : (
148,Disgust,😑 con_trai chỉ thích gái lùn thôi . tao biết mà . nhưng cô gái cao như tao đi cạnh sẽ giống 2 thằng đàn_ông lắm
1067,Other,cần 1 thời_gian dài thật dài nữa thì ý_thức mới đi lên được
1761,Surprise,có gì đó sai sai ? ?
1917,Surprise,sao chúng_nó dã_man thế nhỉ
1883,Surprise,trời có bạn nhận ra mình luôn à @ @
1652,Surprise,"rẻ nhỉ , sao có_thể giảm tới mức đó vậy_ta"
380,Fear,tao thề . nhìn bạn ấy xong tao muốn rụng mấy quả trứng luôn 😓
393,Enjoyment,tao ngự ở trong uống nước cho nhàn thân rồi
1751,Surprise,giỏi thiệt . nể . giọng ở tao khó z mà ông này nói được giỏi 😁
921,Enjoyment,"bộ phim này xem rất sướng . và rút ra được khám_phá là thứ tuyệt_vời nhất chứ không phải bằng_cấp . giá_như mấy ông "" bộ "" và mấy ông "" ngành "" dành thời_gian xem phim này một lần ."
601,Anger,địt_mẹ không có cái loại nào nó ác man và tàn độc hơn là cái loại người . xem mà điên đéo chịu được
516,Other,"hết hôi nhưng cống vẫn xả xuống sông thì nó lại thành "" hòa vốn "" 🤔 🤔"
1905,Surprise,anh thật máu_lửa 🤣
287,Disgust,chộm chó đâu làm_ăn như céc lúc cần thì chả thấy đâu
1027,Other,cùng câu hỏi . . vụ thang_máy thì sao nhỉ
642,Other,thằng này trước cái thời ở trọ nè anh
1672,Disgust,cảm_xúc đéo gì khi mà họp lớp đéo đi
993,Sadness,"tôi xin nhắc lại , đây là một câu_chuyện buồn"
804,Disgust,"cưỡng_hôn thì phạt 200 . lừa_đảo , chiếm_đoạt phạt nhằng 5 cu ( củ ) ."
697,Enjoyment,sở khanh như boss chịu liền . . đẹp_trai quá trời ui
1446,Sadness,cũng muốn vứt giày cũ nhưng lại không có tiền mua giày mới . đành chấp_nhận đau chân_vậy
225,Fear,dcm . ngày bé tao sợ nhện vãi . xem phim thấy yêu_tinh nhện
